Date,Type,Name,Withdraw,Deposit
2023-06-01,cibc chequing,Internet Banking INTERNET TRANSFER 000000113681,,10.0
2023-06-01,cibc chequing,Internet Banking E-TRANSFER STOP SC104590519370,3.5,
2023-06-01,cibc chequing,Internet Banking INTERNET TRANSFER 000000137666,200.0,
2023-06-02,cibc chequing,Internet Banking E-TRANSFER 104592697008 KELLY OJUKWU,,390.0
2023-06-02,cibc credit,CASH ADV/BT/CONV CHQ FEE,,5.0
2023-06-02,cibc credit,CASH INTEREST,,1.8
2023-06-02,cibc chequing,Internet Banking INTERNET TRANSFER 000000136460,300.0,
2023-06-02,td chequing,Transfer to savings,1.5,
2023-06-02,td chequing,SEND E-TFR ***kQ5   ,390.0,
2023-06-02,td chequing,QUESADA BURRITO   _M,3.9,
2023-06-02,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,200.0,
2023-06-02,tdsavings,Transfer to savings,,1.5
2023-06-02,td chequing,UVIC ONE CARD O   _V,2.0,
2023-06-02,cibc credit,CASH ADVANCE/AVANCE DE FO NDS,,10.0
2023-06-05,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001431 WALMART STORE #,49.44,
2023-06-05,cibc chequing,Internet Banking INTERNET TRANSFER 000000137851,47.0,
2023-06-05,tdsavings,Transfer to savings,,1.0
2023-06-05,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,79.0
2023-06-05,td chequing,Transfer to savings,1.0,
2023-06-05,cibc credit,"QUESADA BURRITOS AND TACO VICTORIA, BC",,3.9
2023-06-05,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,300.0,
2023-06-05,cibc credit,INTEREST REVERSAL,0.56,
2023-06-05,td chequing,Amazon Pri    7.49_V,10.43,
2023-06-06,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,47.0,
2023-06-07,td chequing,SEND E-TFR ***nfC   ,116.0,
2023-06-07,td chequing,TD ATM DEP    008664,,478.59
2023-06-07,td chequing,PODP FEE JUN/05/2023,5.0,
2023-06-07,cibc chequing,Internet Banking E-TRANSFER 104599042584 KELLY OJUKWU,,116.0
2023-06-07,cibc chequing,Internet Banking INTERNET TRANSFER 000000136811,116.0,
2023-06-07,cibc credit,"QUESADA BURRITOS AND TACO VICTORIA, BC",,7.82
2023-06-07,td chequing,UVIC ONE CARD O   _F,20.0,
2023-06-08,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,6.8
2023-06-08,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,116.0,
2023-06-08,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,83.37
2023-06-08,td chequing,UVIC FOOD SERVE   _M,2.63,
2023-06-08,tdsavings,Transfer to savings,,0.5
2023-06-08,td chequing,Transfer to savings,0.5,
2023-06-09,td chequing,Transfer to savings,0.5,
2023-06-09,tdsavings,Transfer to savings,,0.5
2023-06-12,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,123.73
2023-06-12,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,24.35
2023-06-12,td chequing,SEND E-TFR ***dYk   ,326.67,
2023-06-12,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,9.5
2023-06-12,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,0.44
2023-06-12,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,47.49
2023-06-12,cibc chequing,Internet Banking E-TRANSFER 104603511740 KELLY OJUKWU,,326.67
2023-06-12,cibc chequing,Internet Banking INTERNET TRANSFER 000000106447,303.0,
2023-06-13,cibc credit,"UVIC ATHLETICS VICTORIA, BC",,88.0
2023-06-13,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,303.0,
2023-06-14,cibc credit,"QUESADA BURRITOS AND TACO VICTORIA, BC",,3.9
2023-06-14,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",67.72,
2023-06-15,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,2.93
2023-06-16,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,2.93
2023-06-19,cibc credit,"REAL CDN WHOLESALE #67 VICTORIA, BC",,12.79
2023-06-19,cibc credit,"QUESADA BURRITOS AND TACO VICTORIA, BC",,7.57
2023-06-19,cibc credit,"AMZN Mktp US*ZN4930IZ3 Amzn.com/bill, ON",,16.42
2023-06-20,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,13.86
2023-06-20,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,55.82
2023-06-21,cibc chequing,Automated Banking Machine ATM DEPOSIT SHELBOURNE + MCKENZIE 1B07,,900.9
2023-06-21,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,2.93
2023-06-21,cibc credit,"QUESADA BURRITOS AND TACO VICTORIA, BC",,7.82
2023-06-22,cibc credit,"FAIRWAY MARKET VICTORIA, BC",,3.99
2023-06-23,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,13.49
2023-06-23,cibc chequing,Internet Banking INTERNET TRANSFER 000000114869,106.49,
2023-06-26,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,23.44
2023-06-26,cibc chequing,Internet Banking INTERNET TRANSFER 000000123567,98.0,
2023-06-26,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,24.11
2023-06-26,cibc credit,"FAIRWAY MARKET VICTORIA, BC",,5.49
2023-06-26,cibc credit,"Amazon.ca www.amazon.ca, ON",,45.33
2023-06-26,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,106.49,
2023-06-26,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,39.53
2023-06-27,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,98.0,
2023-06-29,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,6.34
2023-06-30,cibc chequing,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95
2023-06-30,cibc chequing,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,
2023-06-30,td chequing,OVERDRAFT INTEREST  ,0.01,
2023-07-04,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,28.85
2023-07-04,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,20.27
2023-07-04,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,22.6
2023-07-04,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,720.47,
2023-07-04,cibc credit,CASH INTEREST,,0.49
2023-07-04,cibc credit,CASH ADVANCE/AVANCE DE FO NDS,,800.0
2023-07-04,cibc credit,CASH ADV/BT/CONV CHQ FEE,,5.0
2023-07-04,cibc chequing,Internet Banking INTERNET TRANSFER 000000100398,,800.0
2023-07-04,cibc chequing,Internet Banking E-TRANSFER 104624759715 rick lai,800.0,
2023-07-04,td chequing,Spotify       5.59_V,5.59,
2023-07-04,td chequing,NMM TFR 318204388705,,1286.5
2023-07-04,td chequing,SEND E-TFR ***Rq3   ,645.45,
2023-07-04,cibc chequing,Internet Banking INTERNET TRANSFER 000000234551,720.47,
2023-07-05,td chequing,Transfer to savings,0.5,
2023-07-05,td chequing,Amazon Pri    7.49_V,10.28,
2023-07-05,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,3.97
2023-07-05,tdsavings,Transfer to savings,,0.5
2023-07-05,cibc chequing,Automated Banking Machine ATM DEPOSIT SHELBOURNE + MCKENZIE 1B02,,645.41
2023-07-06,cibc chequing,Internet Banking E-TRANSFER 104630893920 KELLY OJUKWU,,624.67
2023-07-06,td chequing,SEND E-TFR ***m3r   ,624.67,
2023-07-06,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,12.6
2023-07-07,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE Amazon.ca Prime 318863775733,5.59,
2023-07-10,cibc chequing,Internet Banking INTERNET TRANSFER 000000228100,500.0,
2023-07-10,cibc chequing,Internet Banking INTERNET TRANSFER 000000216343,200.0,
2023-07-10,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,33.24
2023-07-10,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,18.2
2023-07-10,cibc credit,"Amazon.ca www.amazon.ca, ON",45.33,
2023-07-10,cibc credit,"Amazon.ca*U94GU8VC3 AMAZON.CA, ON",,111.99
2023-07-11,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,500.0,
2023-07-11,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,200.0,
2023-07-11,cibc credit,"REAL CDN WHOLESALE #67 VICTORIA, BC",,10.78
2023-07-13,cibc credit,"WHITE SPOT FORT ST. #6 VICTORIA, BC",,5.03
2023-07-13,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,22.58
2023-07-14,cibc credit,"FAIRWAY MARKET VICTORIA, BC",,6.98
2023-07-14,cibc credit,"AMZN Mktp CA*0X2AS8PI3 WWW.AMAZON.CA, ON",,33.58
2023-07-14,cibc credit,"THE ROOT CELLAR VICTORIA, BC",,1.04
2023-07-17,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,17.65
2023-07-18,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,2.61
2023-07-19,cibc credit,"MCDONALD'S #1336 VICTORIA, BC",,7.33
2023-07-19,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,34.17
2023-07-20,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,34.39
2023-07-24,cibc chequing,Automated Banking Machine ATM DEPOSIT SHELBOURNE + MCKENZIE 1B07,,209.0
2023-07-24,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,25.11
2023-07-24,cibc credit,"SODA-SNACK VENDING TORONTO, ON",,2.75
2023-07-24,cibc credit,"SODA-SNACK VENDING TORONTO, ON",,2.0
2023-07-24,cibc credit,"SODA-SNACK VENDING TORONTO, ON",,2.0
2023-07-25,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,29.52
2023-07-27,cibc chequing,Internet Banking INTERNET TRANSFER 000000129130,,226.51
2023-07-27,cibc chequing,Internet Banking E-TRANSFER 104653114483 David Emelu,,1000.0
2023-07-27,cibc chequing,Internet Banking E-TRANSFER 104653114803 DAVIDEMELU,,1000.0
2023-07-27,cibc chequing,Internet Banking E-TRANSFER 104653116205 Jin Huang,3000.0,
2023-07-28,cibc credit,CASH ADVANCE/AVANCE DE FO NDS,,226.51
2023-07-28,cibc credit,CASH ADV/BT/CONV CHQ FEE,,5.0
2023-07-31,cibc chequing,Branch Transaction PAY PER USE OVERDRAFT FEE,5.0,
2023-07-31,cibc chequing,Internet Banking INTERNET TRANSFER 000000110473,,425.0
2023-07-31,cibc chequing,Internet Banking E-TRANSFER 104655644749 One month rent,425.0,
2023-07-31,cibc chequing,Internet Banking E-TRANSFER STOP 104655646510,,425.0
2023-07-31,cibc chequing,Internet Banking E-TRANSFER STOP SC104655646510,3.5,
2023-07-31,cibc chequing,Internet Banking E-TRANSFER 104655647706 One month rent,425.0,
2023-07-31,cibc chequing,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,
2023-07-31,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,25.52
2023-07-31,cibc chequing,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95
2023-08-01,cibc chequing,Automated Banking Machine ATM DEPOSIT SHELBOURNE + MCKENZIE 2A2P,,370.0
2023-08-01,td chequing,Spotify       5.59_V,5.59,
2023-08-01,td chequing,NMM TFR 321306895705,,516.04
2023-08-01,cibc credit,CASHBACK/REMISE EN ARGENT,25.0,
2023-08-01,td chequing,SEND E-TFR ***PSe   ,510.45,
2023-08-01,cibc credit,CASH ADVANCE/AVANCE DE FO NDS,,425.0
2023-08-01,cibc credit,"VALUE VILLAGE # 2010 VICTORIA, BC",,15.74
2023-08-01,cibc credit,"DSW #590 VICTORIA, BC",,80.59
2023-08-01,cibc credit,CASH ADV/BT/CONV CHQ FEE,,5.0
2023-08-02,cibc chequing,Internet Banking E-TRANSFER 104660432941 CHIEN HUA LAI,,30.0
2023-08-02,cibc chequing,Internet Banking E-TRANSFER 104660337169 KELLY OJUKWU,,510.45
2023-08-02,cibc chequing,Internet Banking E-TRANSFER 104660346188 One month rent,850.0,
2023-08-02,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,5.24
2023-08-02,cibc credit,"OLD SPAGHETTI VICTORIA VICTORIA, BC",,8.66
2023-08-02,cibc credit,"SODA-SNACK VENDING TORONTO, ON",,2.25
2023-08-02,cibc credit,"SODA-SNACK VENDING TORONTO, ON",,1.75
2023-08-02,cibc credit,"SODA-SNACK VENDING TORONTO, ON",,2.0
2023-08-02,cibc chequing,Internet Banking E-TRANSFER RECLAIM010752863878,,850.0
2023-08-02,cibc chequing,Internet Banking E-TRANSFER 104660589896 One month rent,850.0,
2023-08-03,cibc credit,"REAL CDN WHOLESALE #67 VICTORIA, BC",,32.3
2023-08-04,cibc credit,CASH INTEREST,,2.78
2023-08-04,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,8.47
2023-08-04,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,17.94
2023-08-08,cibc chequing,Internet Banking INTERNET TRANSFER 000000223093,46.36,
2023-08-08,td chequing,Amazon Pri    7.49_V,10.38,
2023-08-08,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,13.59
2023-08-08,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE Amazon.ca Prime 321972367168,5.59,
2023-08-08,cibc credit,"OLD SPAGHETTI VICTORIA VICTORIA, BC",,5.36
2023-08-08,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,67.02
2023-08-08,cibc chequing,Automated Banking Machine ATM DEPOSIT SHELBOURNE + MCKENZIE 2A2P,,65.0
2023-08-08,cibc chequing,Branch Transaction DEPOSIT IBB SHELBOURNE & MCKENZIE BANKING,,130.0
2023-08-08,cibc chequing,Internet Banking INTERNET TRANSFER 000000104041,195.0,
2023-08-08,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,2.43
2023-08-09,cibc credit,"ADVENTURE CENTRE VICTORIA, BC",,88.48
2023-08-09,cibc credit,"MINISO-BC-WALMART VICTORI VICTORIA, BC",,11.19
2023-08-09,cibc credit,"BLUEBIRD CABS VICTORIA, BC",,72.57
2023-08-09,cibc credit,"BLUEBIRD CABS VICTORIA, BC",,45.8
2023-08-09,cibc credit,"BLUEBIRD CABS VICTORIA, BC",,54.2
2023-08-09,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,195.0,
2023-08-09,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,46.36,
2023-08-10,cibc credit,"CHICKEN 649 VICTORIA, BC",,2.89
2023-08-10,cibc chequing,Internet Banking INTERNET TRANSFER 000000203314,120.0,
2023-08-10,td chequing,PODP FEE AUG/08/2023,5.0,
2023-08-10,cibc chequing,Automated Banking Machine ATM DEPOSIT SHELBOURNE + MCKENZIE 1B02,,120.0
2023-08-11,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 137586018156 SQ *VICTORIA KA,185.47,
2023-08-11,cibc chequing,Automated Banking Machine ATM DEPOSIT DOUGLAS + VIEW 2A18,,486.04
2023-08-11,cibc chequing,Automated Banking Machine ATM DEPOSIT DOUGLAS + VIEW 2A18,,20.0
2023-08-11,cibc credit,"MANCHU WOK VICTORIA, BC",,29.82
2023-08-11,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,120.0,
2023-08-11,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,8.93
2023-08-11,cibc credit,"SZECHUAN RESTAURANT VICTORIA, BC",,73.54
2023-08-14,td chequing,NMM TFR 322604178705,,130.87
2023-08-14,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,7.41
2023-08-14,td chequing,UBER CANADA/UBE   _V,18.67,
2023-08-14,td chequing,UBER CANADA/UBE   _V,5.0,
2023-08-14,td chequing,PARACHUTE ICE C   _M,22.2,
2023-08-14,td chequing,UBER CANADA/UBE   _V,12.47,
2023-08-14,td chequing,UBER CANADA/UBE   _V,10.0,
2023-08-14,cibc credit,"CHICKEN 649 VICTORIA, BC",,68.56
2023-08-14,cibc credit,"ROUND HOUSE CAFE VICTORIA, BC",,49.34
2023-08-15,td chequing,SEND E-TFR ***4pa   ,503.0,
2023-08-15,td chequing,NMM TFR 322701827705,,458.99
2023-08-15,td chequing,Transfer to savings,2.5,
2023-08-15,cibc chequing,Internet Banking E-TRANSFER 104675113978 KELLY OJUKWU,,503.0
2023-08-15,tdsavings,Transfer to savings,,2.5
2023-08-16,cibc chequing,Internet Banking INTERNET TRANSFER 000000231958,500.0,
2023-08-16,cibc credit,"THE ROOT CELLAR VICTORIA, BC",,0.78
2023-08-17,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,500.0,
2023-08-18,cibc chequing,Internet Banking INTERNET TRANSFER 000000107446,323.57,
2023-08-18,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,13.61
2023-08-18,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,33.24
2023-08-21,cibc chequing,Internet Banking INTERNET TRANSFER 000000231315,100.0,
2023-08-21,cibc credit,"SODA-SNACK VENDING TORONTO, ON",,2.25
2023-08-21,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,16.35
2023-08-21,cibc credit,"SODA-SNACK VENDING TORONTO, ON",,2.25
2023-08-21,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,323.57,
2023-08-21,cibc credit,"GAP.COM 4584 800-427-7895, ON",,73.34
2023-08-21,cibc chequing,Automated Banking Machine ATM DEPOSIT SHELBOURNE + MCKENZIE 1B02,,210.92
2023-08-22,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,24.86
2023-08-22,cibc chequing,Internet Banking INTERNET TRANSFER 000000201523,100.0,
2023-08-22,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,100.0,
2023-08-23,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,100.0,
2023-08-24,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,34.13
2023-08-24,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,25.79
2023-08-24,cibc credit,"DSW #590 VICTORIA, BC",80.59,
2023-08-25,td chequing,NMM TFR 323704785705,,132.32
2023-08-28,td chequing,NMM TFR 323805385705,,594.9
2023-08-28,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,14.41
2023-08-29,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,16.68
2023-08-29,cibc credit,"UVIC BOOKSTORE VICTORIA, BC",,10.45
2023-08-30,cibc credit,"BELLEVILLE'S WATERING VICTORIA, BC",,12.52
2023-08-30,cibc chequing,Branch Transaction CREDIT MEMO,,100.0
2023-08-31,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,28.86
2023-08-31,cibc credit,"SVI - 110-3934 QUADRA 844-983-0303, BC",,26.25
2023-08-31,cibc chequing,Internet Banking E-TRANSFER 104692357161 KELLY OJUKWU,,727.86
2023-08-31,cibc chequing,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,
2023-08-31,cibc chequing,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95
2023-08-31,td chequing,OVERDRAFT INTEREST  ,0.05,
2023-08-31,td chequing,SEND E-TFR ***fAe   ,727.86,
2023-08-31,cibc chequing,Internet Banking INTERNET TRANSFER 000000103047,247.46,
2023-09-01,cibc chequing,Internet Banking INTERNET TRANSFER 000000103061,,409.0
2023-09-01,td chequing,Spotify       5.59_V,5.59,
2023-09-01,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,31.33
2023-09-01,cibc credit,"CHICKEN 649 VICTORIA, BC",,31.85
2023-09-01,cibc credit,CASH INTEREST,,2.06
2023-09-01,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,247.46,
2023-09-05,td chequing,SEND E-TFR ***jwv   ,538.96,
2023-09-05,td chequing,Amazon Pri    7.49_V,10.55,
2023-09-05,cibc credit,CASH ADVANCE/AVANCE DE FO NDS,,409.0
2023-09-05,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,27.78
2023-09-05,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,78.38
2023-09-05,cibc credit,"TIM HORTONS #2921 VICTORIA, BC",,1.56
2023-09-05,cibc credit,"AMZN Mktp CA*TL9EA03A0 WWW.AMAZON.CA, ON",,78.39
2023-09-05,cibc credit,"THE ROOT CELLAR VICTORIA, BC",,2.47
2023-09-05,cibc credit,CASH ADV/BT/CONV CHQ FEE,,5.0
2023-09-05,cibc credit,"BC SHAVER & HOBBIES VICTORIA, BC",,67.19
2023-09-05,td chequing,TD ATM DEP    008454,,50.0
2023-09-05,td chequing,TD ATM DEP    008450,,156.01
2023-09-05,td chequing,TD ATM DEP    008448,,40.0
2023-09-05,cibc chequing,Internet Banking E-TRANSFER 104695168225 John soliman,,2000.0
2023-09-05,cibc chequing,Internet Banking INTERNET TRANSFER 000000113911,45.0,
2023-09-05,cibc chequing,Internet Banking INTERNET TRANSFER 000000113993,,90.0
2023-09-05,cibc chequing,Internet Banking E-TRANSFER 104695213680 Jin Huang,3000.0,
2023-09-05,td chequing,TD ATM DEP    008452,,303.88
2023-09-05,cibc chequing,Internet Banking E-TRANSFER 104697290794 david,409.0,
2023-09-05,cibc chequing,Internet Banking E-TRANSFER 104697281234 JIAN MING TU,,400.0
2023-09-05,cibc chequing,Internet Banking E-TRANSFER 104698111187 KELLY OJUKWU,,538.96
2023-09-05,cibc chequing,Internet Banking E-TRANSFER 104698112494 david,408.33,
2023-09-05,cibc chequing,Internet Banking E-TRANSFER RECLAIM010803595545,,408.33
2023-09-05,cibc chequing,Internet Banking E-TRANSFER 104698983812 David e,408.33,
2023-09-05,td chequing,THRIFTY FOODS #   _M,5.29,
2023-09-05,cibc chequing,Internet Banking E-TRANSFER RECLAIM010774618536,,409.0
2023-09-06,td chequing,PODP FEE SEP/01/2023,5.0,
2023-09-06,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,9.96
2023-09-06,cibc credit,INTEREST REVERSAL,0.08,
2023-09-06,cibc credit,CASH ADVANCE/AVANCE DE FO NDS,,90.0
2023-09-06,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,45.0,
2023-09-06,cibc credit,CASH ADV/BT/CONV CHQ FEE,,5.0
2023-09-07,cibc chequing,Internet Banking E-TRANSFER 104700486088 david,403.33,
2023-09-07,cibc chequing,Internet Banking E-TRANSFER RECLAIM010803475843,,403.33
2023-09-07,td chequing,PODP FEE SEP/05/2023,5.0,
2023-09-07,cibc credit,"Amazon.ca Prime Member amazon.ca/pri, BC",,5.59
2023-09-08,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,1.21
2023-09-08,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,42.71
2023-09-11,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,25.05
2023-09-11,cibc credit,"CDN TIRE STORE #00365 VICTORIA, BC",,28.53
2023-09-11,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,9.42
2023-09-11,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,9.96
2023-09-12,cibc credit,"AMZN Mktp CA*TR52M6Q40 WWW.AMAZON.CA, ON",,83.96
2023-09-13,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,62.27
2023-09-13,cibc chequing,Automated Banking Machine ATM WITHDRAWAL BAHRS PEOPLE DRUG MART 1D3O,400.0,
2023-09-13,cibc chequing,Internet Banking E-TRANSFER STOP SC104706930662,3.5,
2023-09-13,cibc chequing,Internet Banking E-TRANSFER STOP 104706930662,,408.33
2023-09-14,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,17.82
2023-09-14,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,15.44
2023-09-15,cibc chequing,Automated Banking Machine ATM WITHDRAWAL SHELBOURNE + MCKENZIE 1B02,530.0,
2023-09-18,td chequing,TD ATM DEP    001628,,120.0
2023-09-18,td chequing,WAL-MART #1214    _M,20.79,
2023-09-19,tdsavings,Transfer to savings,,0.5
2023-09-19,td chequing,Transfer to savings,0.5,
2023-09-21,td chequing,WALMART STORE #   _M,34.67,
2023-09-22,td chequing,THE ROOT CELLAR   _M,3.09,
2023-09-22,td chequing,THRIFTY FOODS #   _M,35.61,
2023-09-22,td chequing,Transfer to savings,0.5,
2023-09-22,tdsavings,Transfer to savings,,0.5
2023-09-25,td chequing,TD ATM DEP    002886,,962.84
2023-09-25,td chequing,SEND E-TFR ***DjF   ,900.0,
2023-09-25,td chequing,Transfer to savings,1.0,
2023-09-25,td chequing,Amazon.ca         _V,40.34,
2023-09-25,cibc chequing,Internet Banking INTERNET TRANSFER 000000220464,950.0,
2023-09-25,cibc chequing,Internet Banking E-TRANSFER 104718626028 KELLY OJUKWU,,900.0
2023-09-25,tdsavings,Transfer to savings,,1.0
2023-09-26,tdsavings,Transfer to savings,,0.5
2023-09-26,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,950.0,
2023-09-26,td chequing,Transfer to savings,0.5,
2023-09-28,td chequing,REAL CDN WHOLES   _M,14.38,
2023-09-29,tdsavings,Transfer to savings,,0.5
2023-09-29,td chequing,Transfer to savings,0.5,
2023-09-29,td chequing,OVERDRAFT INTEREST  ,0.16,
2023-09-29,cibc chequing,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95
2023-09-29,cibc chequing,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,
2023-10-03,cibc chequing,Automated Banking Machine ATM WITHDRAWAL BAHRS PEOPLE DRUG MART 1D3O,500.0,
2023-10-03,td chequing,Spotify       6.71_V,6.71,
2023-10-03,td chequing,SEND E-TFR ***SZY   ,100.0,
2023-10-03,td chequing,NMM TFR 327412733705,,131.8
2023-10-03,cibc credit,"AMZN Mktp CA WWW.AMAZON.CA, ON",78.39,
2023-10-03,cibc chequing,Internet Banking INTERNET TRANSFER 000000132639,100.0,
2023-10-03,cibc chequing,Internet Banking INTERNET TRANSFER 000000238633,,500.0
2023-10-03,cibc credit,"UBER* TRIP TORONTO, ON",,27.45
2023-10-03,cibc credit,"UBER CANADA/UBERTRIP TORONTO, ON",,6.96
2023-10-03,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,26.32
2023-10-03,cibc chequing,Internet Banking E-TRANSFER 104728485839 KELLY OJUKWU,,100.0
2023-10-04,cibc credit,CASH ADV/BT/CONV CHQ FEE,,5.0
2023-10-04,cibc credit,"BELLEVILLE'S WATERING VICTORIA, BC",,17.29
2023-10-04,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,100.0,
2023-10-04,td chequing,Transfer to savings,0.5,
2023-10-04,cibc credit,CASH ADVANCE/AVANCE DE FO NDS,,500.0
2023-10-04,cibc credit,CASH INTEREST,,8.03
2023-10-04,tdsavings,Transfer to savings,,0.5
2023-10-05,td chequing,Amazon Pri    7.49_V,10.68,
2023-10-06,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,31.49
2023-10-06,tdsavings,Transfer to savings,,0.5
2023-10-06,td chequing,Transfer to savings,0.5,
